,centros,qtd_projeto
1,CBIOTEC,1
2,CEAR,7
4,CCJ,16
5,CCEN,18
6,CT,40
7,CCSA,25
8,CE,23
11,CCTA,34
12,CCM,33
13,CCHLA,41
15,CCS,104
16,CCHSA,30
17,CCAE,28
18,CCA,47
19,CI,7
20,CTDR,16
