,centros,qtd_projeto
0,CBIOTEC,4
2,CEAR,7
4,CCSA,30
5,CCEN,35
6,CCJ,18
7,CT,32
9,CCM,42
11,CE,35
12,CCTA,44
13,CCHLA,60
15,CCS,139
16,CCHSA,42
17,CCAE,37
18,CCA,49
19,CI,9
20,CTDR,18
