,centros,qtd_projeto
0,CBIOTEC,5
2,CEAR,11
4,CCSA,18
5,CCEN,19
6,CCJ,19
7,CT,27
9,CCM,35
11,CE,37
12,CCTA,38
13,CCHLA,50
15,CCS,123
16,CCHSA,32
17,CCAE,35
18,CCA,52
19,CI,10
20,CTDR,13
