,,Ciências da Saúde,Ciências Humanas,Ciências Sociais Aplicadas,Ciências Agrárias,"Lingüística, Letras e Artes",Engenharias,Multidisciplinar,Ciências Exatas e da Terra,Ciências Biológicas
CCTA,2018,8.966666666666667,0.0,9.255555555555555,0.0,8.978888888888891,8.933333333333334,8.75,0.0,0.0
CCTA,2019,8.766666666666667,9.766666666666667,8.557142857142859,0.0,9.019354838709676,0.0,9.733333333333334,0.0,0.0
CCTA,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCHSA,2017,9.216666666666669,8.901515151515152,7.35,8.627777777777778,0.0,0.0,9.358333333333334,9.266666666666666,8.95
CCHSA,2018,9.4,8.283333333333333,8.520833333333332,8.964583333333334,8.6,0.0,8.277777777777777,8.8,8.183333333333334
CCHSA,2019,8.200000000000001,8.97,8.733333333333333,8.957575757575757,9.366666666666667,0.0,8.962962962962964,9.4,0.0
CCHSA,2020,0.0,8.709090909090909,8.370833333333334,8.915384615384616,6.9,0.0,8.769696969696968,8.916666666666668,8.966666666666667
CCSA,2017,0.0,8.238888888888889,8.142307692307693,0.0,7.599999999999999,0.0,0.0,0.0,0.0
CCSA,2018,0.0,8.866666666666665,8.513333333333332,0.0,9.133333333333333,0.0,0.0,0.0,0.0
CCSA,2019,0.0,9.255555555555555,8.534615384615385,0.0,9.333333333333332,0.0,8.833333333333332,0.0,0.0
CCSA,2020,0.0,7.05,8.23125,0.0,9.083333333333332,0.0,9.173333333333332,0.0,0.0
CI,2017,0.0,0.0,0.0,0.0,0.0,8.1,7.1,8.209523809523809,0.0
CI,2018,0.0,0.0,8.333333333333334,0.0,0.0,8.377777777777778,8.466666666666667,8.928571428571429,0.0
CI,2019,0.0,9.299999999999999,0.0,0.0,0.0,8.633333333333335,8.666666666666666,8.607407407407408,0.0
CI,2020,0.0,0.0,0.0,0.0,0.0,7.233333333333333,9.0,8.471428571428572,0.0
CCAE,2017,8.5,8.133333333333333,8.480555555555556,9.1,8.522222222222224,0.0,8.78888888888889,7.45,8.566666666666668
CCAE,2018,8.333333333333334,8.648484848484848,8.536666666666665,0.0,9.0,0.0,8.75,8.747619047619045,9.25
CCAE,2019,0.0,9.036666666666665,8.81,0.0,8.899999999999999,0.0,8.7625,8.928571428571429,9.233333333333333
CCAE,2020,0.0,8.169444444444446,8.313888888888888,0.0,8.9,0.0,8.54,8.197222222222221,8.866666666666667
CCJ,2017,0.0,8.962499999999999,8.127777777777778,0.0,0.0,0.0,0.0,0.0,0.0
CCJ,2018,0.0,9.280952380952384,8.825757575757576,0.0,0.0,0.0,0.0,0.0,0.0
CCJ,2019,0.0,9.033333333333333,9.028333333333332,0.0,0.0,0.0,9.116666666666667,0.0,0.0
CCJ,2020,0.0,7.7333333333333325,8.672222222222222,0.0,0.0,0.0,7.944444444444444,0.0,0.0
CCA,2017,8.166666666666666,8.193333333333333,8.8,8.176315789473685,7.633333333333333,0.0,9.433333333333332,8.41111111111111,7.866666666666666
CCA,2018,8.924999999999999,9.299999999999999,0.0,8.687254901960786,0.0,0.0,8.766666666666666,8.30952380952381,9.0
CCA,2019,8.593333333333334,9.341666666666667,8.333333333333334,8.951666666666666,0.0,0.0,9.0,8.606666666666666,8.775
CCA,2020,9.419999999999998,9.133333333333333,9.016666666666666,8.495121951219513,0.0,0.0,8.842857142857143,8.222222222222223,8.4
CE,2017,7.433333333333333,8.703571428571427,0.0,0.0,9.233333333333334,0.0,8.35,0.0,8.5
CE,2018,9.6,8.702666666666666,0.0,0.0,9.25,0.0,0.0,0.0,9.25
CE,2019,8.833333333333334,9.086842105263155,8.283333333333331,0.0,8.9,0.0,8.016666666666666,0.0,7.783333333333333
CE,2020,9.733333333333333,8.199375,8.866666666666667,0.0,9.033333333333333,0.0,8.25,0.0,0.0
