projetos,docentes,centros,ano
3,13,CCA,2019
4,5,CCA,2019
5,6,CCA,2019
6,1,CCA,2019
8,1,CCA,2019
10,1,CCA,2019
1,2,CBIOTEC,2019
3,1,CBIOTEC,2019
4,1,CBIOTEC,2019
5,1,CBIOTEC,2019
1,5,CCSA,2019
2,4,CCSA,2019
3,4,CCSA,2019
4,2,CCSA,2019
5,2,CCSA,2019
7,1,CCSA,2019
1,12,CCTA,2019
2,10,CCTA,2019
3,2,CCTA,2019
4,2,CCTA,2019
5,6,CCTA,2019
6,5,CCTA,2019
7,1,CCTA,2019
1,1,CEAR,2019
2,1,CEAR,2019
3,2,CEAR,2019
4,4,CEAR,2019
5,2,CEAR,2019
7,1,CEAR,2019
1,7,CE,2019
2,4,CE,2019
3,12,CE,2019
4,7,CE,2019
5,4,CE,2019
6,1,CE,2019
8,2,CE,2019
2,2,CTDR,2019
3,2,CTDR,2019
4,4,CTDR,2019
5,2,CTDR,2019
6,3,CTDR,2019
1,13,CCHLA,2020
2,17,CCHLA,2020
3,6,CCHLA,2020
4,11,CCHLA,2020
5,4,CCHLA,2020
6,3,CCHLA,2020
7,1,CCHLA,2020
8,2,CCHLA,2020
9,1,CCHLA,2020
10,1,CCHLA,2020
1,5,CCHSA,2020
2,10,CCHSA,2020
3,6,CCHSA,2020
4,6,CCHSA,2020
5,8,CCHSA,2020
6,2,CCHSA,2020
7,1,CCHSA,2020
8,3,CCHSA,2020
11,1,CCHSA,2020
1,1,CCJ,2020
2,5,CCJ,2020
3,4,CCJ,2020
4,7,CCJ,2020
5,2,CCJ,2020
1,24,CCS,2020
2,31,CCS,2020
3,28,CCS,2020
4,26,CCS,2020
5,7,CCS,2020
6,6,CCS,2020
7,6,CCS,2020
8,5,CCS,2020
11,1,CCS,2020
12,3,CCS,2020
14,1,CCS,2020
1,5,CT,2020
2,10,CT,2020
3,7,CT,2020
4,6,CT,2020
6,2,CT,2020
7,1,CT,2020
8,1,CT,2020
1,11,CCM,2020
2,8,CCM,2020
3,6,CCM,2020
4,11,CCM,2020
5,2,CCM,2020
7,1,CCM,2020
10,1,CCM,2020
11,1,CCM,2020
1,2,CI,2020
2,4,CI,2020
3,2,CI,2020
4,1,CI,2020
1,3,CCAE,2020
2,15,CCAE,2020
3,9,CCAE,2020
4,3,CCAE,2020
5,6,CCAE,2020
6,1,CCAE,2020
1,8,CCEN,2020
2,8,CCEN,2020
3,7,CCEN,2020
4,1,CCEN,2020
5,4,CCEN,2020
6,2,CCEN,2020
7,1,CCEN,2020
8,1,CCEN,2020
10,1,CCEN,2020
1,13,CCA,2020
2,9,CCA,2020
3,14,CCA,2020
4,6,CCA,2020
5,4,CCA,2020
6,1,CCA,2020
8,1,CCA,2020
9,1,CCA,2020
1,2,CBIOTEC,2020
3,1,CBIOTEC,2020
5,1,CBIOTEC,2020
1,6,CCSA,2020
2,7,CCSA,2020
3,8,CCSA,2020
4,4,CCSA,2020
5,3,CCSA,2020
7,1,CCSA,2020
8,1,CCSA,2020
1,15,CCTA,2020
2,7,CCTA,2020
3,6,CCTA,2020
4,10,CCTA,2020
5,2,CCTA,2020
6,3,CCTA,2020
9,1,CCTA,2020
1,1,CEAR,2020
3,2,CEAR,2020
4,3,CEAR,2020
7,1,CEAR,2020
1,7,CE,2020
2,10,CE,2020
3,11,CE,2020
4,3,CE,2020
5,1,CE,2020
6,2,CE,2020
7,1,CE,2020
2,1,CTDR,2020
3,4,CTDR,2020
4,4,CTDR,2020
5,2,CTDR,2020
6,3,CTDR,2020
7,4,CTDR,2020
