centro,2017,2018,2019,2020,media
CBIOTEC,14,38,18,13,20.75
CEAR,35,37,27,38,34.25
CI,27,52,50,25,38.5
CTDR,61,34,34,57,46.5
CCJ,140,104,170,139,138.25
CCHSA,153,183,89,159,146.0
CE,115,149,184,143,147.75
CCEN,94,200,159,139,148.0
CCSA,180,157,126,185,162.0
CCTA,193,200,208,86,171.75
CCAE,175,248,210,162,198.75
CT,233,175,181,225,203.5
CCA,248,262,279,346,283.75
CCHLA,241,375,223,326,291.25
CCM,260,316,206,498,320.0
CCS,685,783,704,880,763.0
