Centros,2017,2018,2019,2020
CCS,0.6709421513751591,0.5831107447042708,0.619973387808888,0.988270035003208
CEAR,0.8006170459845257,0.38620662287893986,0.5063956505521086,1.87134394656664
CCEN,1.4198557961483407,1.050730508777643,0.5998740104557432,1.0357022601946926
CT,1.4260286590582476,1.0750366057505687,0.8490072597908649,1.0834697170725427
CCM,0.5386528600689106,0.8482607667075353,0.516582237836453,0.6603535426082537
CBIOTEC,0.36243347622889127,0.32564465978186186,0.39855293807026976,0.6546149326582549
CTDR,0.5802298395176404,1.6005068213063045,0.5174053858758464,0.5199320468420204
CCHLA,0.7802154668692526,0.48470862061333203,0.48046763695993433,1.0418873861328288
CCTA,0.9742022071809272,0.5850745678313607,0.4482743149301017,0.7631155592079129
CCHSA,1.4992414823235174,1.1484573986759128,0.44381118593748925,0.9964711209912303
CCSA,1.5527685246190361,0.8668110816361115,0.6146362971528591,1.2703609223404153
CI,0.5752867642412008,0.5096698084146907,0.41452635472962635,0.6616428063206147
CCAE,1.120439199599871,0.9758443716144357,0.40735512080302183,1.2950512893594857
CCJ,1.3208784677395982,0.656711063929643,0.5332392856893324,1.4951811484454536
CCA,1.5264624107442315,0.624050867841481,0.5797035375665925,1.1325357759842558
CE,0.7539317676966374,0.5699956681663424,0.7525577753295688,1.490136407600979
