centro,2017,2018,2019,2020,media
CBIOTEC,4,8,7,7,6.5
CI,10,24,19,16,17.25
CEAR,14,20,17,18,17.25
CTDR,35,22,24,34,28.75
CCJ,34,37,37,26,33.5
CCEN,39,40,43,65,46.75
CCSA,71,71,38,61,60.25
CE,53,48,87,68,64.0
CT,78,60,58,62,64.5
CCM,49,71,80,75,68.75
CCTA,67,67,68,74,69.0
CCAE,63,73,72,75,70.75
CCHSA,59,74,73,84,72.5
CCA,77,83,89,73,80.5
CCHLA,66,91,79,111,86.75
CCS,234,265,246,284,257.25
