,area,centro,2017,2018,2019,2020,media
108,Ciências Humanas,CCTA,1,0,1,0,0.5
109,Ciências Humanas,CEAR,0,0,0,0,0.0
110,Ciências Humanas,CE,20,24,34,29,26.75
111,Ciências Humanas,CTDR,0,0,0,0,0.0
112,Multidisciplinar,CCHLA,1,2,6,5,3.5
113,Multidisciplinar,CCHSA,2,2,7,9,5.0
114,Multidisciplinar,CCJ,0,0,2,2,1.0
115,Multidisciplinar,CCS,0,3,0,3,1.5
116,Multidisciplinar,CT,1,0,3,5,2.25
117,Multidisciplinar,CCM,0,0,0,1,0.25
118,Multidisciplinar,CI,1,2,2,2,1.75
119,Multidisciplinar,CCAE,3,2,6,5,4.0
120,Multidisciplinar,CCEN,1,2,4,9,4.0
121,Multidisciplinar,CCA,1,5,3,6,3.75
122,Multidisciplinar,CBIOTEC,0,1,3,2,1.5
123,Multidisciplinar,CCSA,0,0,1,5,1.5
124,Multidisciplinar,CCTA,1,2,2,1,1.5
125,Multidisciplinar,CEAR,0,1,0,1,0.5
126,Multidisciplinar,CE,2,0,1,3,1.5
127,Multidisciplinar,CTDR,0,0,1,4,1.25
128,Ciências Biológicas,CCHLA,0,0,0,0,0.0
129,Ciências Biológicas,CCHSA,2,1,0,1,1.0
130,Ciências Biológicas,CCJ,0,0,0,0,0.0
131,Ciências Biológicas,CCS,2,2,1,1,1.5
132,Ciências Biológicas,CT,0,0,0,0,0.0
133,Ciências Biológicas,CCM,0,0,0,0,0.0
134,Ciências Biológicas,CI,0,0,0,0,0.0
135,Ciências Biológicas,CCAE,1,2,2,2,1.75
136,Ciências Biológicas,CCEN,11,12,4,11,9.5
137,Ciências Biológicas,CCA,2,2,3,1,2.0
138,Ciências Biológicas,CBIOTEC,1,2,1,1,1.25
139,Ciências Biológicas,CCSA,0,0,0,0,0.0
140,Ciências Biológicas,CCTA,0,0,0,0,0.0
141,Ciências Biológicas,CEAR,0,0,0,0,0.0
142,Ciências Biológicas,CE,1,2,1,0,1.0
143,Ciências Biológicas,CTDR,0,0,0,0,0.0
144,Engenharias,CCHLA,0,0,0,1,0.25
145,Engenharias,CCHSA,0,0,0,0,0.0
146,Engenharias,CCJ,0,0,0,0,0.0
147,Engenharias,CCS,0,0,0,0,0.0
148,Engenharias,CT,29,23,14,20,21.5
149,Engenharias,CCM,0,0,0,0,0.0
150,Engenharias,CI,1,2,1,0,1.0
151,Engenharias,CCAE,0,0,0,0,0.0
152,Engenharias,CCEN,0,0,0,0,0.0
153,Engenharias,CCA,0,0,0,0,0.0
154,Engenharias,CBIOTEC,0,0,0,0,0.0
155,Engenharias,CCSA,0,0,0,0,0.0
156,Engenharias,CCTA,0,1,0,0,0.25
157,Engenharias,CEAR,6,8,10,6,7.5
158,Engenharias,CE,0,0,0,0,0.0
159,Engenharias,CTDR,1,2,1,2,1.5
