,,Ciências da Saúde,Ciências Humanas,Ciências Sociais Aplicadas,Ciências Agrárias,"Lingüística, Letras e Artes",Engenharias,Multidisciplinar,Ciências Exatas e da Terra,Ciências Biológicas
CCHLA,2020,"[9.633333333333333, 9.466666666666667]","[9.166666666666666, 9.0, 9.299999999999999, 8.166666666666666, 8.866666666666667, 9.066666666666666, 9.4, 9.433333333333332, 6.0, 7.766666666666667, 9.5, 8.200000000000001, 9.466666666666667, 9.233333333333333, 9.5, 9.100000000000001, 8.666666666666666, 9.9, 8.666666666666666, 8.666666666666666, 8.5, 8.200000000000001, 9.033333333333333, 8.566666666666668, 8.133333333333333, 8.633333333333333, 8.866666666666667, 9.133333333333333, 7.333333333333333, 7.3999999999999995, 9.1, 9.066666666666668, 8.6, 7.033333333333334, 9.9]","[8.6, 9.366666666666667, 9.566666666666665]",0.0,"[9.5, 7.733333333333333, 9.266666666666667, 5.066666666666666, 9.299999999999999, 8.933333333333332, 8.4, 8.999999999999998, 9.866666666666667, 9.566666666666666, 7.7, 7.400000000000001, 8.4, 9.1, 9.366666666666667, 9.0, 8.766666666666666, 9.933333333333334, 8.9, 8.0, 9.1, 6.466666666666666, 8.6, 8.666666666666666]",[9.4],"[9.299999999999999, 8.066666666666666, 9.466666666666667, 8.4, 9.166666666666666]",0.0,0.0
CCTA,2017,[7.8999999999999995],[8.633333333333335],"[7.033333333333334, 8.333333333333334, 8.166666666666666, 5.8, 9.666666666666666, 9.833333333333334]",0.0,"[8.7, 8.766666666666666, 8.700000000000001, 9.133333333333333, 7.266666666666666, 9.366666666666667, 9.6, 8.633333333333335, 9.266666666666666, 8.4, 8.166666666666668, 8.833333333333334, 9.233333333333333, 8.966666666666667, 9.366666666666665, 8.566666666666668, 7.933333333333334, 8.200000000000001, 6.3, 9.233333333333334, 8.666666666666666, 8.1, 9.066666666666665, 9.299999999999999, 8.8, 8.566666666666666, 8.866666666666667, 9.366666666666667]",0.0,"[7.0, 9.0]",0.0,0.0
CCTA,2018,"[8.5, 9.433333333333334]",0.0,"[9.000000000000002, 9.133333333333333, 9.633333333333335]",0.0,"[8.6, 8.866666666666667, 9.233333333333333, 8.966666666666667, 9.733333333333333, 8.833333333333334, 9.233333333333333, 9.033333333333333, 8.266666666666666, 9.266666666666667, 9.133333333333333, 9.133333333333333, 8.9, 8.9, 9.533333333333333, 9.566666666666666, 8.733333333333333, 9.866666666666667, 8.566666666666666, 9.066666666666668, 8.233333333333333, 9.4, 6.633333333333333, 8.833333333333334, 9.866666666666667, 9.866666666666667, 8.233333333333333, 9.333333333333332, 9.0, 8.533333333333333]",[8.933333333333334],"[8.966666666666667, 8.533333333333333]",0.0,0.0
CCTA,2019,[8.766666666666667],[9.766666666666667],"[9.3, 8.933333333333334, 6.0, 9.100000000000001, 9.700000000000001, 9.033333333333333, 8.533333333333333, 9.299999999999999, 9.2, 5.933333333333334, 8.866666666666667, 8.766666666666667, 8.266666666666666, 8.866666666666667]",0.0,"[9.0, 9.633333333333333, 9.1, 9.233333333333333, 9.366666666666665, 9.4, 8.866666666666667, 9.833333333333334, 9.500000000000002, 8.866666666666665, 9.3, 8.566666666666668, 9.1, 8.633333333333333, 9.3, 9.466666666666667, 8.4, 9.566666666666666, 8.533333333333333, 8.0, 9.0, 9.233333333333333, 9.433333333333335, 9.166666666666666, 8.566666666666666, 8.466666666666667, 9.133333333333333, 8.733333333333333, 7.866666666666666, 9.0, 9.333333333333334]",0.0,[9.733333333333334],0.0,0.0
CCTA,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCHSA,2017,"[9.066666666666668, 9.366666666666667]","[8.366666666666667, 8.966666666666667, 9.850000000000001, 8.733333333333333, 8.966666666666667, 8.866666666666667, 8.999999999999998, 8.466666666666667, 9.2, 9.299999999999999, 8.200000000000001]","[8.733333333333333, 0.13333333333333333, 7.333333333333333, 8.366666666666667, 8.366666666666665, 7.866666666666667, 8.166666666666666, 9.833333333333334]","[8.9, 8.0, 8.766666666666666, 8.466666666666667, 8.533333333333333, 8.5, 8.366666666666667, 9.033333333333333, 9.866666666666667, 8.466666666666667, 7.566666666666667, 9.066666666666668]",0.0,0.0,"[9.166666666666666, 9.55]",[9.266666666666666],"[9.1, 8.8]"
CCHSA,2018,[9.4],"[9.766666666666667, 3.2999999999999994, 8.700000000000001, 8.433333333333332, 8.966666666666667, 9.433333333333334, 8.266666666666666, 9.4]","[8.766666666666666, 9.1, 7.966666666666666, 7.666666666666667, 8.0, 9.533333333333333, 7.833333333333333, 9.299999999999999]","[9.6, 8.933333333333334, 8.133333333333333, 8.433333333333334, 9.233333333333333, 9.533333333333333, 7.966666666666668, 9.299999999999999, 9.066666666666668, 9.033333333333333, 9.433333333333335, 9.933333333333334, 8.866666666666667, 8.866666666666667, 8.733333333333333, 8.366666666666667]",[8.6],0.0,"[6.266666666666667, 9.366666666666667, 9.2]","[9.033333333333333, 8.566666666666666]","[8.833333333333334, 7.533333333333334]"
CCHSA,2019,[8.200000000000001],"[8.733333333333334, 9.0, 9.266666666666667, 8.6, 8.933333333333334, 8.9, 9.133333333333333, 9.4, 8.833333333333334, 8.9]","[9.333333333333334, 8.833333333333334, 9.166666666666666, 8.799999999999999, 7.766666666666666, 8.5]","[9.466666666666667, 9.233333333333333, 9.033333333333333, 8.566666666666668, 9.666666666666666, 9.033333333333333, 8.0, 8.733333333333333, 8.966666666666667, 9.533333333333333, 8.299999999999999]",[9.366666666666667],0.0,"[9.133333333333333, 9.066666666666668, 9.566666666666666, 9.366666666666667, 8.7, 8.0, 9.200000000000001, 8.833333333333334, 8.799999999999999]",[9.4],0.0
CCHSA,2020,0.0,"[8.5, 8.566666666666666, 8.866666666666667, 8.466666666666667, 9.066666666666668, 9.266666666666667, 9.466666666666667, 8.233333333333334, 8.066666666666666, 9.833333333333334, 7.466666666666666]","[8.5, 7.366666666666667, 8.866666666666667, 8.733333333333334, 8.666666666666666, 8.233333333333334, 8.566666666666666, 8.033333333333333]","[8.200000000000001, 8.9, 9.200000000000001, 8.733333333333334, 9.533333333333333, 9.433333333333334, 9.233333333333334, 8.266666666666667, 9.166666666666666, 9.366666666666667, 9.4, 8.933333333333334, 7.533333333333334]","[9.066666666666668, 4.733333333333333]",0.0,"[9.033333333333333, 9.0, 9.4, 8.6, 9.666666666666666, 9.0, 7.566666666666666, 8.366666666666667, 8.8, 7.433333333333333, 9.6]","[8.566666666666666, 9.266666666666667]",[8.966666666666667]
CCSA,2017,0.0,"[9.1, 8.15, 7.466666666666666]","[6.7, 8.233333333333334, 8.3, 9.233333333333334, 8.733333333333333, 8.933333333333332, 8.333333333333334, 8.566666666666668, 7.066666666666666, 8.166666666666666, 5.666666666666667, 8.266666666666667, 9.200000000000001, 8.799999999999999, 8.833333333333334, 9.166666666666666, 8.4, 8.233333333333333, 8.533333333333333, 8.933333333333332, 8.533333333333333, 8.566666666666666, 10.0, 8.299999999999999, 1.0333333333333334, 8.966666666666667]",0.0,[7.599999999999999],0.0,0.0,0.0,0.0
CCSA,2018,0.0,"[8.666666666666666, 9.266666666666666, 8.666666666666666]","[9.066666666666666, 9.066666666666666, 9.0, 9.433333333333332, 8.433333333333332, 9.033333333333333, 8.133333333333333, 8.566666666666668, 8.466666666666667, 8.9, 9.266666666666667, 9.133333333333333, 7.233333333333333, 7.599999999999999, 5.2, 8.6, 7.3, 9.299999999999999, 8.633333333333335, 9.366666666666667, 9.166666666666666, 8.333333333333334, 7.5, 8.1, 9.166666666666666, 9.533333333333333, 8.4, 9.5, 7.599999999999999, 8.366666666666667]",0.0,[9.133333333333333],0.0,0.0,0.0,0.0
CCSA,2019,0.0,"[9.7, 8.833333333333334, 9.233333333333333]","[8.333333333333334, 8.833333333333334, 8.966666666666667, 8.666666666666666, 7.966666666666668, 9.133333333333335, 9.0, 8.366666666666667, 8.299999999999999, 9.966666666666667, 7.666666666666667, 8.266666666666666, 8.733333333333334, 8.433333333333334, 7.6000000000000005, 8.066666666666668, 8.533333333333333, 8.200000000000001, 8.533333333333333, 8.200000000000001, 8.233333333333333, 8.933333333333335, 8.0, 9.266666666666667, 8.1, 9.6]",0.0,"[9.933333333333334, 8.733333333333333]",0.0,"[9.533333333333333, 8.133333333333333]",0.0,0.0
CCSA,2020,0.0,"[8.4, 7.8, 7.366666666666667, 4.633333333333334]","[9.0, 7.733333333333333, 7.133333333333333, 6.566666666666666, 9.266666666666666, 8.166666666666666, 8.466666666666667, 9.0, 9.200000000000001, 8.066666666666666, 6.866666666666666, 9.0, 9.0, 8.566666666666666, 8.333333333333334, 7.333333333333333, 6.666666666666667, 6.8, 8.966666666666667, 5.900000000000001, 9.033333333333333, 9.233333333333333, 6.166666666666667, 9.2, 7.599999999999999, 8.466666666666667, 9.533333333333333, 8.9, 8.666666666666666, 9.233333333333333, 8.266666666666666, 9.066666666666665]",0.0,"[9.366666666666665, 8.8]",0.0,"[9.0, 9.7, 9.366666666666665, 9.0, 8.799999999999999]",0.0,0.0
CI,2017,0.0,0.0,0.0,0.0,0.0,[8.1],[7.1],"[8.833333333333334, 8.3, 8.233333333333334, 8.5, 7.666666666666667, 8.9, 7.033333333333334]",0.0
CI,2018,0.0,0.0,[8.333333333333334],0.0,0.0,"[8.500000000000002, 8.799999999999999, 7.833333333333333]","[8.466666666666667, 8.466666666666667]","[9.966666666666667, 9.1, 8.700000000000001, 8.766666666666667, 8.366666666666667, 8.333333333333332, 9.266666666666667]",0.0
CI,2019,0.0,[9.299999999999999],0.0,0.0,0.0,[8.633333333333335],"[8.766666666666667, 8.299999999999999, 8.333333333333334, 9.266666666666667]","[8.5, 8.666666666666666, 9.233333333333333, 8.666666666666666, 8.4, 8.299999999999999, 9.333333333333334, 8.4, 7.966666666666668]",0.0
CI,2020,0.0,0.0,0.0,0.0,0.0,[7.233333333333333],"[9.0, 9.0]","[8.0, 9.4, 9.266666666666666, 8.333333333333334, 8.0, 8.166666666666666, 8.133333333333333]",0.0
CCAE,2017,[8.5],"[9.333333333333334, 6.566666666666666, 7.666666666666667, 9.033333333333333, 8.433333333333332, 8.133333333333333, 9.0, 8.166666666666666, 6.866666666666667]","[9.866666666666667, 8.733333333333334, 9.033333333333333, 9.6, 8.633333333333333, 9.2, 8.6, 8.4, 7.866666666666667, 7.933333333333333, 4.433333333333334, 9.466666666666667]",[9.1],"[7.7, 8.566666666666668, 9.299999999999999]",0.0,"[8.066666666666668, 9.0, 9.299999999999999]","[8.200000000000001, 7.400000000000001, 5.566666666666666, 8.633333333333333]",[8.566666666666668]
CCAE,2018,[8.333333333333334],"[8.633333333333333, 9.799999999999999, 9.366666666666667, 8.733333333333333, 8.866666666666667, 9.0, 9.1, 8.6, 4.966666666666666, 9.0, 9.066666666666666]","[8.9, 9.4, 9.1, 8.766666666666666, 8.233333333333333, 7.466666666666666, 7.8999999999999995, 9.0, 8.033333333333333, 8.566666666666666]",0.0,"[8.9, 9.4, 8.2, 9.5]",0.0,"[8.433333333333334, 9.066666666666666]","[8.666666666666666, 8.600000000000001, 8.933333333333332, 8.666666666666666, 8.633333333333333, 8.933333333333334, 8.8]","[9.666666666666666, 8.833333333333334]"
CCAE,2019,0.0,"[9.133333333333333, 9.466666666666667, 8.566666666666666, 9.1, 8.5, 8.933333333333334, 9.233333333333334, 8.866666666666667, 9.266666666666667, 9.3]","[8.6, 9.166666666666666, 9.266666666666667, 9.033333333333333, 8.666666666666666, 8.933333333333335, 8.933333333333334, 9.166666666666666, 8.9, 7.433333333333333]",0.0,"[8.6, 9.433333333333334, 8.666666666666666]",0.0,"[9.133333333333333, 8.133333333333335, 9.233333333333334, 9.233333333333333, 8.4, 8.466666666666667, 9.133333333333333, 8.366666666666667]","[9.200000000000001, 8.833333333333332, 8.6, 9.033333333333333, 9.166666666666666, 8.6, 9.066666666666668]","[9.6, 8.866666666666665]"
CCAE,2020,0.0,"[8.533333333333333, 4.933333333333334, 5.933333333333334, 8.633333333333333, 9.5, 9.0, 8.4, 7.3, 8.166666666666666, 9.399999999999999, 9.5, 8.733333333333333]","[9.033333333333333, 8.799999999999999, 8.6, 8.533333333333333, 8.299999999999999, 8.633333333333333, 9.166666666666668, 9.2, 2.6999999999999997, 9.166666666666666, 8.566666666666666, 9.066666666666666]",0.0,"[8.766666666666667, 9.033333333333333]",0.0,"[8.333333333333334, 9.6, 8.466666666666667, 7.933333333333334, 8.366666666666667]","[7.033333333333334, 7.633333333333333, 7.8999999999999995, 8.266666666666667, 8.566666666666668, 8.6, 8.700000000000001, 7.366666666666667, 8.166666666666666, 9.033333333333333, 8.899999999999999, 8.2]","[8.566666666666668, 9.166666666666666]"
CCJ,2017,0.0,"[9.2, 8.933333333333332, 9.266666666666667, 8.933333333333332, 8.666666666666666, 8.733333333333333, 8.633333333333335, 9.333333333333334]","[9.0, 9.0, 9.5, 9.0, 5.333333333333333, 8.833333333333334, 7.933333333333333, 9.1, 5.066666666666666, 7.7, 8.666666666666666, 8.4]",0.0,0.0,0.0,0.0,0.0,0.0
CCJ,2018,0.0,"[8.633333333333335, 8.533333333333333, 8.733333333333334, 9.5, 9.966666666666667, 9.833333333333334, 9.766666666666667]","[9.299999999999999, 8.966666666666667, 9.5, 8.866666666666667, 8.95, 7.266666666666667, 9.633333333333333, 9.233333333333334, 8.166666666666666, 8.299999999999999, 8.899999999999999]",0.0,0.0,0.0,0.0,0.0,0.0
CCJ,2019,0.0,"[9.833333333333334, 8.233333333333333]","[8.433333333333332, 8.733333333333333, 8.566666666666666, 9.5, 9.533333333333333, 9.333333333333334, 9.233333333333334, 9.433333333333334, 9.733333333333333, 9.033333333333333, 8.799999999999999, 7.466666666666666, 9.5, 9.333333333333334, 9.033333333333333, 9.1, 8.5, 8.799999999999999, 9.633333333333333, 8.866666666666667]",0.0,0.0,0.0,"[9.3, 8.933333333333332]",0.0,0.0
CCJ,2020,0.0,"[5.966666666666666, 9.5]","[8.833333333333334, 9.333333333333334, 8.933333333333332, 9.566666666666666, 9.700000000000001, 8.666666666666666, 8.066666666666666, 9.566666666666666, 8.033333333333333, 8.333333333333334, 9.799999999999999, 9.299999999999999, 9.0, 7.666666666666667, 3.6, 10.0, 9.366666666666665, 8.333333333333334]",0.0,0.0,0.0,"[9.233333333333333, 6.366666666666667, 8.233333333333333]",0.0,0.0
CCA,2017,[8.166666666666666],"[7.933333333333334, 8.933333333333332, 7.066666666666667, 8.233333333333334, 8.799999999999999]",[8.8],"[8.299999999999999, 8.399999999999999, 7.900000000000001, 9.4, 8.933333333333332, 8.333333333333334, 9.666666666666666, 7.566666666666667, 8.133333333333335, 8.933333333333332, 7.633333333333333, 8.1, 8.333333333333332, 9.6, 9.1, 8.633333333333333, 8.1, 7.366666666666667, 9.5, 9.1, 8.766666666666667, 5.1000000000000005, 3.1666666666666665, 8.6, 8.0, 7.566666666666666, 8.6, 8.833333333333334, 7.766666666666667, 8.466666666666667, 8.566666666666665, 9.0, 3.0333333333333337, 7.966666666666666, 9.533333333333333, 8.5, 8.966666666666667, 9.233333333333334]",[7.633333333333333],0.0,[9.433333333333332],"[9.033333333333333, 8.5, 7.366666666666667, 7.933333333333333, 8.733333333333334, 8.899999999999999]","[7.733333333333333, 8.4, 7.466666666666666]"
CCA,2018,"[9.033333333333333, 8.233333333333334, 9.500000000000002, 8.933333333333332]","[9.933333333333334, 9.233333333333333, 8.5, 9.533333333333333]",0.0,"[8.966666666666667, 8.1, 9.066666666666666, 8.8, 8.066666666666666, 9.0, 8.133333333333335, 8.1, 9.9, 8.700000000000001, 8.733333333333333, 8.933333333333332, 9.1, 8.3, 8.433333333333334, 8.933333333333335, 8.1, 9.366666666666667, 9.133333333333335, 8.433333333333332, 9.1, 7.966666666666666, 8.233333333333333, 9.766666666666667, 9.0, 8.4, 8.566666666666666, 8.166666666666666, 9.4, 8.4, 8.733333333333333, 8.933333333333334, 8.033333333333333, 8.366666666666665]",0.0,0.0,"[8.533333333333333, 8.6, 9.433333333333332, 8.766666666666667, 8.499999999999998]","[8.866666666666667, 8.1, 9.266666666666667, 6.666666666666667, 8.6, 8.200000000000001, 8.466666666666667]","[9.200000000000001, 8.799999999999999]"
CCA,2019,"[8.6, 8.966666666666667, 9.266666666666666, 6.666666666666667, 9.466666666666667]","[8.966666666666667, 9.9, 9.1, 9.4]",[8.333333333333334],"[9.1, 8.633333333333333, 9.666666666666666, 9.533333333333333, 9.4, 8.733333333333334, 8.466666666666667, 9.1, 9.066666666666666, 8.933333333333334, 8.299999999999999, 9.866666666666667, 9.133333333333333, 8.466666666666667, 8.866666666666667, 9.333333333333334, 7.966666666666666, 8.433333333333332, 9.866666666666667, 9.299999999999999, 8.299999999999999, 8.133333333333333, 9.166666666666666, 8.666666666666666, 8.933333333333334, 9.066666666666666, 9.966666666666667, 9.033333333333333, 9.299999999999999, 8.466666666666667, 8.933333333333334, 8.833333333333334, 9.700000000000001, 7.633333333333333, 8.8, 8.6, 9.200000000000001, 8.766666666666666, 9.233333333333333, 9.166666666666666]",0.0,0.0,"[8.933333333333332, 8.833333333333334, 9.233333333333333]","[7.933333333333333, 9.233333333333333, 8.866666666666667, 7.899999999999999, 9.1]","[8.566666666666668, 9.366666666666667, 8.866666666666667, 8.299999999999999]"
CCA,2020,"[8.966666666666667, 9.633333333333333, 9.633333333333335, 9.566666666666666, 9.299999999999999]","[9.566666666666666, 8.533333333333333, 9.299999999999999]","[8.633333333333333, 9.4]","[8.166666666666666, 9.966666666666667, 8.5, 8.299999999999999, 9.133333333333333, 9.866666666666667, 8.433333333333335, 9.0, 9.4, 9.0, 7.8999999999999995, 9.633333333333333, 8.4, 7.8999999999999995, 7.633333333333333, 8.366666666666667, 7.7, 7.3999999999999995, 8.733333333333333, 9.066666666666666, 9.1, 9.633333333333333, 8.833333333333334, 1.7666666666666666, 9.666666666666666, 7.533333333333334, 8.733333333333333, 6.866666666666667, 9.166666666666666, 8.5, 8.866666666666667, 9.299999999999999, 7.266666666666667, 8.566666666666666, 9.0, 8.733333333333334, 8.933333333333334, 9.133333333333333, 8.666666666666666, 9.333333333333334, 8.2]",0.0,0.0,"[9.4, 8.566666666666666, 7.8999999999999995, 9.0, 9.3, 8.666666666666666, 9.066666666666666]","[8.266666666666667, 7.633333333333334, 8.766666666666666]",[8.4]
CE,2017,[7.433333333333333],"[8.9, 9.133333333333333, 8.5, 8.0, 9.366666666666667, 8.866666666666667, 8.0, 9.366666666666667, 9.700000000000001, 8.6, 9.066666666666665, 7.266666666666666, 8.133333333333335, 9.200000000000001, 8.733333333333334, 8.833333333333334, 6.8, 8.833333333333332, 9.133333333333333, 8.833333333333334, 6.833333333333333, 9.533333333333333, 8.266666666666666, 8.933333333333332, 9.6, 9.533333333333333, 8.266666666666667, 9.466666666666667]",0.0,0.0,[9.233333333333334],0.0,"[8.133333333333333, 8.566666666666666]",0.0,[8.5]
CE,2018,[9.6],"[8.299999999999999, 8.166666666666666, 8.633333333333335, 8.633333333333333, 9.4, 8.033333333333333, 8.633333333333333, 8.966666666666667, 8.7, 8.633333333333333, 9.533333333333333, 8.533333333333333, 9.366666666666665, 9.533333333333333, 9.566666666666668, 8.200000000000001, 8.866666666666667, 8.2, 8.133333333333333, 8.966666666666667, 9.333333333333334, 8.233333333333333, 7.366666666666667, 8.966666666666667, 8.666666666666666]",0.0,0.0,"[8.766666666666667, 9.733333333333334]",0.0,0.0,0.0,"[9.5, 9.0]"
CE,2019,[8.833333333333334],"[9.166666666666666, 9.133333333333333, 9.1, 9.033333333333333, 9.299999999999999, 8.933333333333332, 9.9, 9.4, 9.033333333333333, 9.333333333333334, 8.866666666666667, 9.366666666666667, 7.733333333333333, 9.366666666666665, 8.9, 9.833333333333334, 8.766666666666667, 9.5, 9.366666666666667, 9.433333333333334, 8.0, 9.666666666666666, 9.6, 9.633333333333333, 9.266666666666666, 7.5, 9.6, 8.6, 9.666666666666666, 9.5, 9.466666666666667, 8.933333333333334, 8.133333333333333, 9.200000000000001, 9.4, 8.966666666666667, 8.933333333333332, 7.766666666666667]","[8.333333333333332, 8.233333333333333]",0.0,[8.9],0.0,"[6.933333333333333, 9.1]",0.0,"[6.2, 9.366666666666667]"
CE,2020,[9.733333333333333],"[8.0, 8.6, 8.266666666666667, 9.433333333333334, 8.333333333333332, 9.0, 9.433333333333332, 8.033333333333333, 8.833333333333332, 5.775, 7.866666666666667, 8.466666666666667, 8.066666666666666, 9.366666666666667, 8.566666666666666, 8.866666666666667, 8.066666666666668, 3.9000000000000004, 7.233333333333333, 9.533333333333333, 8.4, 9.0, 8.033333333333333, 7.666666666666667, 9.366666666666665, 9.1, 8.9, 7.599999999999999, 8.966666666666667, 7.6000000000000005, 7.833333333333333, 8.833333333333334, 9.366666666666665, 8.166666666666666, 8.299999999999999, 3.7999999999999994, 9.633333333333333, 7.733333333333333, 7.366666666666667, 8.666666666666666]",[8.866666666666667],0.0,[9.033333333333333],0.0,"[6.066666666666666, 9.433333333333334, 8.166666666666666, 9.333333333333334]",0.0,0.0
