,,Ciências da Saúde,Ciências Humanas,Ciências Sociais Aplicadas,Ciências Agrárias,"Lingüística, Letras e Artes",Engenharias,Multidisciplinar,Ciências Exatas e da Terra,Ciências Biológicas
CCEN,2019,[9.1],"[9.233333333333334, 8.700000000000001, 7.066666666666666, 8.5, 8.933333333333334, 9.033333333333333]",[9.066666666666666],0.0,0.0,0.0,"[9.933333333333334, 9.133333333333333, 8.666666666666666, 9.833333333333334]","[7.833333333333333, 8.466666666666667, 8.566666666666666, 8.566666666666666, 9.233333333333333]","[9.0, 9.166666666666666, 9.1, 8.766666666666666]"
CCEN,2020,"[8.066666666666668, 9.766666666666667]","[8.833333333333334, 8.733333333333333, 8.333333333333334, 9.166666666666666]",0.0,0.0,0.0,0.0,"[9.766666666666667, 8.299999999999999, 8.833333333333334, 8.433333333333334, 9.833333333333334, 9.866666666666667, 9.0, 9.833333333333334, 8.366666666666665]","[8.799999999999999, 8.200000000000001, 9.766666666666667, 8.2, 8.399999999999999, 8.466666666666667, 7.433333333333334, 9.166666666666666]","[8.733333333333333, 8.433333333333332, 9.233333333333334, 9.6, 8.133333333333333, 8.866666666666667, 9.766666666666666, 4.033333333333333, 9.200000000000001, 9.533333333333333, 8.6, 8.0]"
CT,2017,[7.833333333333333],0.0,0.0,"[8.733333333333333, 8.1, 8.0, 8.833333333333334]",0.0,"[6.566666666666666, 8.633333333333333, 9.6, 8.200000000000001, 7.9, 8.833333333333334, 7.833333333333333, 7.6000000000000005, 7.333333333333333, 9.3, 9.166666666666666, 8.566666666666668, 8.6, 9.433333333333332, 8.133333333333333, 8.100000000000001, 7.533333333333334, 8.5, 7.866666666666667, 8.933333333333332, 8.666666666666666, 7.75, 8.466666666666667, 9.1, 4.566666666666666, 8.166666666666666, 9.333333333333334, 9.1, 3.8666666666666667, 7.866666666666667, 8.433333333333334, 8.6, 7.333333333333333, 5.8, 8.633333333333333, 8.133333333333335, 7.933333333333333, 8.6, 8.933333333333334, 9.4, 7.933333333333333, 5.233333333333333]",[8.299999999999999],"[8.633333333333333, 7.033333333333334]",0.0
CT,2018,[8.766666666666666],0.0,0.0,"[8.1, 7.666666666666667, 8.9, 8.966666666666667]",0.0,"[5.033333333333333, 7.633333333333333, 7.833333333333333, 8.166666666666666, 8.533333333333333, 8.133333333333333, 8.166666666666666, 5.599999999999999, 9.466666666666667, 9.233333333333334, 8.5, 8.033333333333333, 8.733333333333333, 8.433333333333334, 9.1, 8.666666666666666, 7.966666666666666, 8.566666666666666, 6.133333333333333, 8.566666666666668, 9.0, 9.5, 7.633333333333333, 8.8, 8.633333333333333, 8.633333333333333, 8.4, 8.600000000000001, 9.066666666666668, 8.5]",[7.733333333333333],[8.033333333333333],0.0
CT,2019,[8.233333333333334],[8.633333333333333],"[8.466666666666667, 8.966666666666667, 9.033333333333333, 8.200000000000001, 9.266666666666667, 9.133333333333335, 8.866666666666667]","[8.733333333333333, 7.8999999999999995, 9.0, 4.166666666666667]",0.0,"[8.466666666666667, 8.366666666666667, 8.166666666666666, 9.566666666666666, 7.900000000000001, 8.4, 9.1, 8.866666666666667, 8.333333333333334, 8.200000000000001, 8.266666666666666, 8.966666666666667, 9.733333333333333, 8.85, 9.133333333333333, 9.266666666666666, 8.566666666666666, 8.133333333333333, 8.666666666666666, 8.766666666666666, 8.433333333333332, 9.233333333333334, 8.299999999999999]","[8.5, 9.133333333333333, 8.833333333333334]",0.0,0.0
CT,2020,0.0,[9.0],"[8.799999999999999, 9.366666666666667, 8.566666666666666, 8.4, 8.433333333333334, 6.666666666666667]",[8.200000000000001],0.0,"[7.866666666666666, 9.1, 9.266666666666666, 8.466666666666667, 9.200000000000001, 7.0, 8.666666666666666, 9.0, 7.666666666666667, 8.866666666666665, 7.4, 8.733333333333334, 9.0, 8.533333333333333, 9.133333333333333, 8.266666666666667, 7.166666666666667, 7.733333333333333, 9.033333333333333, 8.766666666666667, 7.566666666666667, 4.733333333333333, 8.466666666666667, 5.433333333333334, 8.066666666666666, 8.866666666666667, 8.799999999999999, 8.499999999999998, 8.733333333333334, 7.866666666666667]","[9.299999999999999, 9.433333333333334, 9.533333333333333, 9.4, 9.200000000000001]",0.0,0.0
CCM,2017,"[9.266666666666667, 8.766666666666667, 8.6, 7.733333333333334, 9.000000000000002, 9.3, 9.200000000000001, 8.0, 9.133333333333333, 8.333333333333334, 9.466666666666667, 8.966666666666667, 9.233333333333333, 8.633333333333333, 9.200000000000001, 9.266666666666666, 8.933333333333332, 9.866666666666667, 8.333333333333334, 9.433333333333334, 8.6, 8.7, 9.066666666666665, 9.266666666666667, 9.166666666666666, 8.4, 8.533333333333333, 9.266666666666667, 8.666666666666666, 7.966666666666666, 9.533333333333333, 8.533333333333333, 8.399999999999999, 8.833333333333334]",0.0,0.0,0.0,[9.6],0.0,0.0,0.0,0.0
CCM,2018,"[8.266666666666666, 9.266666666666666, 7.8, 8.9, 9.266666666666666, 8.700000000000001, 8.566666666666666, 8.466666666666667, 5.133333333333334, 9.166666666666666, 8.6, 8.833333333333332, 9.200000000000001, 8.366666666666667, 9.266666666666666, 9.466666666666667, 9.033333333333333, 8.533333333333333, 9.466666666666667, 8.933333333333334, 9.266666666666667, 9.433333333333332, 8.566666666666666, 8.5, 9.8, 9.866666666666667, 8.9, 8.466666666666667, 8.299999999999999, 9.1, 8.866666666666667, 8.566666666666666, 8.6, 9.166666666666668, 9.0, 9.333333333333334, 8.566666666666668, 7.866666666666667, 9.1, 9.233333333333333, 9.200000000000001, 8.799999999999999, 8.5, 8.933333333333335, 8.566666666666666, 9.166666666666666, 8.1, 8.1, 8.433333333333334, 8.633333333333333]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,2019,"[9.5, 9.466666666666667, 9.533333333333333, 8.066666666666666, 8.666666666666666, 9.266666666666667, 9.4, 9.533333333333333, 8.633333333333333, 9.366666666666665, 9.3, 8.433333333333332, 9.6, 7.666666666666667, 7.866666666666666, 8.833333333333332, 8.866666666666667, 8.700000000000001, 9.033333333333333, 8.433333333333334, 9.066666666666666, 8.633333333333335, 9.4, 9.433333333333334, 9.066666666666666, 8.733333333333333, 9.166666666666666, 8.399999999999999, 9.133333333333333, 9.1, 8.466666666666667, 8.999999999999998, 8.1, 7.6000000000000005, 8.533333333333333, 8.966666666666667, 8.766666666666667, 9.266666666666667, 8.700000000000001, 9.333333333333334, 8.433333333333334, 8.366666666666665, 9.366666666666667]",0.0,[9.4],0.0,0.0,0.0,0.0,0.0,0.0
CCM,2020,"[9.1, 9.366666666666667, 8.666666666666666, 9.0, 8.433333333333334, 8.366666666666667, 9.200000000000001, 7.800000000000001, 9.833333333333334, 8.466666666666667, 9.5, 8.499999999999998, 7.566666666666667, 8.433333333333334, 8.399999999999999, 8.9, 9.533333333333333, 9.133333333333335, 9.466666666666667, 8.666666666666666, 8.433333333333334, 8.766666666666667, 9.4, 7.7, 8.233333333333334, 9.133333333333333, 8.733333333333333, 9.666666666666666, 8.866666666666665, 8.733333333333334, 9.5, 8.9, 8.566666666666666, 9.166666666666666, 9.166666666666666, 8.833333333333334, 9.366666666666667, 8.9, 9.1, 8.366666666666665, 8.766666666666666, 8.9, 8.499999999999998, 9.033333333333333]",0.0,0.0,0.0,0.0,0.0,"[5.8999999999999995, 8.1]",0.0,0.0
